Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,11.340146,11.473203,10.148719,10.211975,10.211975,114946929418
2022-04-12,10.211808,10.961327,10.180845,10.514504,10.514504,92454086973
2022-04-13,10.514018,10.855975,10.442372,10.663194,10.663194,67804007000
2022-04-14,10.661096,11.160744,10.515648,10.982408,10.982408,134232793244
2022-04-15,10.982187,11.390749,10.894464,11.146417,11.146417,87047189333
2022-04-16,11.14568,11.282648,10.846179,10.96978,10.96978,44579118400
2022-04-17,10.968344,11.045851,10.609699,10.645135,10.645135,48580691049
2022-04-18,10.646051,10.720496,10.261403,10.701053,10.701053,69393732581
2022-04-19,10.701896,11.020916,10.642774,10.906113,10.906113,51945707474
2022-04-20,10.907066,11.172564,10.646379,10.745701,10.745701,81504616756
2022-04-21,10.744916,10.850001,10.317927,10.403563,10.403563,56497913726
2022-04-22,10.402932,10.51632,10.330973,10.429265,10.429265,38633381016
2022-04-23,10.428638,10.436888,10.231594,10.26471,10.26471,26742769436
2022-04-24,10.261703,10.299062,10.055274,10.089157,10.089157,33385616395
2022-04-25,10.088312,12.838437,9.496579,12.088254,12.088254,396248232110
2022-04-26,12.074387,12.658146,10.553404,10.579728,10.579728,347802191286
2022-04-27,10.585899,11.13615,10.464641,10.682988,10.682988,134999766556
2022-04-28,10.682323,10.906142,10.42906,10.520499,10.520499,84641644959
2022-04-29,10.52154,11.070298,10.264257,10.332933,10.332933,119026455996
2022-04-30,10.333366,10.447801,9.660388,9.761305,9.761305,70143552632
2022-05-01,9.763694,10.317128,9.759414,10.1602,10.1602,75889035165
2022-05-02,10.161858,10.243764,9.817359,10.020088,10.020088,58852871610
2022-05-03,10.019846,10.122456,9.746941,9.904082,9.904082,42493512769
2022-05-04,9.90365,10.32171,9.89317,10.32171,10.32171,63693356148
2022-05-05,10.321996,10.458911,9.695091,9.830257,9.830257,96294982617
2022-05-06,9.828254,9.919109,9.589855,9.842341,9.842341,64564111667
2022-05-07,9.841512,10.151631,9.647249,9.813986,9.813986,57436503381
2022-05-08,9.813563,9.851272,9.5402,9.558704,9.558704,56098590724
2022-05-09,9.558161,9.635712,8.109817,8.109817,8.109817,104701520766
2022-05-10,8.100869,9.090148,7.809174,8.382228,8.382228,133144100552
2022-05-11,8.379995,8.540083,6.195686,6.548124,6.548124,197882687610
2022-05-12,6.552406,6.892679,5.425601,6.402375,6.402375,203760242574
2022-05-13,6.399861,7.28843,6.379263,6.844422,6.844422,111917674128
2022-05-14,6.845254,7.097602,6.546293,6.958009,6.958009,69930012750
2022-05-15,6.957088,7.19407,6.731723,7.19407,7.19407,50513547227
2022-05-16,7.195919,7.210955,6.728316,6.83455,6.83455,47190937737
2022-05-17,6.834157,7.064697,6.779134,6.980031,6.980031,43390593256
2022-05-18,6.980636,7.025181,6.509612,6.509612,6.509612,43443877957
2022-05-19,6.508506,6.748143,6.3846,6.714176,6.714176,47521372945
2022-05-20,6.713883,6.794466,6.449486,6.534976,6.534976,40353331380
2022-05-21,6.534566,6.623167,6.453655,6.572776,6.572776,26088375242
2022-05-22,6.571646,6.729717,6.541264,6.700591,6.700591,29184018670
2022-05-23,6.698904,6.838761,6.423728,6.454358,6.454358,39336073511
